,,,"Date : Thursday, 21 August 2025",,,,,
S.No.,District,Meals not served,No Ration,Funds,No cook,Food not arrived,Holidays,Others
1,AMRITSAR ,2,0,0,0,0,1,1
2,FAZILKA ,1,0,0,0,0,0,1
3,FIROZPUR ,3,0,0,0,0,1,2
4,GURDASPUR ,3,0,0,0,0,0,3
5,JALANDHAR ,4,0,0,0,0,0,4
6,KAPURTHALA ,4,0,0,0,0,0,4
7,LUDHIANA ,2,0,0,0,0,0,2
8,MOGA ,1,0,0,0,0,0,1
9,PATIALA ,1,0,0,0,0,0,1
10,RUPNAGAR ,1,0,0,0,0,1,0
11,SANGRUR ,1,0,0,0,0,0,1
12,SHAHID BHAGAT ,3,0,0,0,0,0,3
13,TARAN TARAN ,1,0,0,0,0,0,1
,TOTAL ,27,0,0,0,0,3,24
